image,class,x,y,w,h,fpath
2015_00019.jpg,People,134,142,63,93,./ExDark/Bicycle
2015_00019.jpg,People,93,140,39,67,./ExDark/Bicycle
2015_00019.jpg,People,17,139,56,182,./ExDark/Bicycle
2015_00019.jpg,People,62,150,55,164,./ExDark/Bicycle
2015_00019.jpg,People,220,141,73,85,./ExDark/Bicycle
2015_00019.jpg,People,305,140,49,78,./ExDark/Bicycle
2015_00019.jpg,People,382,135,57,68,./ExDark/Bicycle
2015_00020.jpg,Bicycle,279,206,150,92,./ExDark/Bicycle
2015_00021.jpg,Bicycle,229,181,123,91,./ExDark/Bicycle
2015_00022.jpg,Bicycle,71,159,204,315,./ExDark/Bicycle
2015_00022.jpg,People,37,169,34,77,./ExDark/Bicycle
2015_00023.jpg,Bicycle,30,355,330,268,./ExDark/Bicycle
2015_00024.JPG,Bicycle,36,40,601,405,./ExDark/Bicycle
2015_00024.JPG,Bicycle,4,5,152,85,./ExDark/Bicycle
2015_00024.JPG,Bicycle,199,5,178,75,./ExDark/Bicycle
2015_00025.jpg,Bicycle,321,196,240,179,./ExDark/Bicycle
2015_00025.jpg,Bicycle,36,212,96,88,./ExDark/Bicycle
2015_00025.jpg,Bicycle,485,199,137,43,./ExDark/Bicycle
2015_00025.jpg,People,226,190,21,52,./ExDark/Bicycle
2015_00025.jpg,People,248,191,39,52,./ExDark/Bicycle
2015_00025.jpg,People,20,162,85,123,./ExDark/Bicycle
2015_00025.jpg,People,311,86,178,253,./ExDark/Bicycle
2015_00026.jpg,Bicycle,14,212,174,114,./ExDark/Bicycle
2015_00027.jpg,Bicycle,311,270,160,141,./ExDark/Bicycle
2015_00027.jpg,Bicycle,22,275,174,106,./ExDark/Bicycle
2015_00027.jpg,People,94,220,43,74,./ExDark/Bicycle
2015_00027.jpg,People,442,222,23,41,./ExDark/Bicycle
2015_00027.jpg,People,459,204,41,73,./ExDark/Bicycle
2015_00027.jpg,People,489,214,40,73,./ExDark/Bicycle
2015_00027.jpg,Bicycle,158,241,70,43,./ExDark/Bicycle
2015_00028.jpg,Bicycle,75,239,115,150,./ExDark/Bicycle
2015_00028.jpg,Bicycle,194,237,63,97,./ExDark/Bicycle
2015_00028.jpg,Bicycle,258,220,62,77,./ExDark/Bicycle
2015_00028.jpg,Car,35,189,115,46,./ExDark/Bicycle
2015_00028.jpg,Car,218,180,95,55,./ExDark/Bicycle
2015_00028.jpg,People,337,174,26,57,./ExDark/Bicycle
2015_00028.jpg,Bicycle,336,214,29,47,./ExDark/Bicycle
2015_00028.jpg,People,350,176,32,82,./ExDark/Bicycle
2015_00028.jpg,Car,147,189,68,37,./ExDark/Bicycle
2015_00028.jpg,Car,2,192,71,65,./ExDark/Bicycle
2015_00029.jpg,Bicycle,263,427,132,126,./ExDark/Bicycle
2015_00029.jpg,Bicycle,409,355,117,335,./ExDark/Bicycle
2015_00030.jpg,Bicycle,76,187,659,703,./ExDark/Bicycle
2015_00031.jpg,Bicycle,190,158,289,299,./ExDark/Bicycle
2015_00032.jpg,Bicycle,67,231,265,159,./ExDark/Bicycle
2015_00032.jpg,People,127,128,135,252,./ExDark/Bicycle
2015_00032.jpg,People,457,117,79,262,./ExDark/Bicycle
2015_00033.jpg,Bicycle,27,76,264,239,./ExDark/Bicycle
2015_00033.jpg,People,321,116,33,109,./ExDark/Bicycle
2015_00033.jpg,Chair,383,179,37,61,./ExDark/Bicycle
2015_00033.jpg,People,351,110,37,111,./ExDark/Bicycle
2015_00033.jpg,People,382,114,26,72,./ExDark/Bicycle
2015_00033.jpg,People,474,103,32,143,./ExDark/Bicycle
2015_00033.jpg,People,30,147,51,78,./ExDark/Bicycle
2015_00033.jpg,People,1,95,43,146,./ExDark/Bicycle
2015_00034.jpg,Bicycle,150,126,141,178,./ExDark/Bicycle
2015_00034.jpg,People,153,16,150,250,./ExDark/Bicycle
2015_00035.jpg,Bicycle,7,277,189,113,./ExDark/Bicycle
2015_00035.jpg,Bicycle,191,279,187,124,./ExDark/Bicycle
2015_00035.jpg,Bicycle,385,272,226,135,./ExDark/Bicycle
2015_00036.jpg,Bicycle,15,309,391,110,./ExDark/Bicycle
2015_00036.jpg,People,125,287,21,34,./ExDark/Bicycle
2015_00036.jpg,People,100,286,26,33,./ExDark/Bicycle
2015_00036.jpg,People,65,286,32,34,./ExDark/Bicycle
2015_00036.jpg,Motorbike,309,275,50,52,./ExDark/Bicycle
2015_00036.jpg,Bicycle,447,295,41,33,./ExDark/Bicycle
2015_00036.jpg,People,501,275,33,87,./ExDark/Bicycle
2015_00036.jpg,People,549,275,24,41,./ExDark/Bicycle
2015_00036.jpg,People,570,273,29,44,./ExDark/Bicycle
2015_00036.jpg,People,414,279,24,37,./ExDark/Bicycle
2015_00036.jpg,People,398,276,20,48,./ExDark/Bicycle
2015_00036.jpg,People,366,277,31,43,./ExDark/Bicycle
2015_00036.jpg,People,284,277,19,30,./ExDark/Bicycle
2015_00036.jpg,People,96,72,54,109,./ExDark/Bicycle
2015_00037.jpg,Bicycle,249,305,188,114,./ExDark/Bicycle
2015_00038.jpg,Bicycle,175,254,189,115,./ExDark/Bicycle
2015_00038.jpg,People,97,183,74,198,./ExDark/Bicycle
2015_00039.jpg,Bicycle,88,349,169,97,./ExDark/Bicycle
2015_00039.jpg,People,311,351,15,30,./ExDark/Bicycle
2015_00040.jpg,Bicycle,793,333,178,158,./ExDark/Bicycle
2015_00040.jpg,People,640,239,48,173,./ExDark/Bicycle
2015_00040.jpg,People,367,251,58,65,./ExDark/Bicycle
2015_00040.jpg,People,733,237,88,182,./ExDark/Bicycle
2015_00040.jpg,People,822,251,76,216,./ExDark/Bicycle
2015_00040.jpg,People,886,256,76,202,./ExDark/Bicycle
2015_00040.jpg,People,1026,232,71,214,./ExDark/Bicycle
2015_00040.jpg,People,1372,237,63,132,./ExDark/Bicycle
2015_00040.jpg,People,1513,241,61,90,./ExDark/Bicycle
2015_00040.jpg,Car,62,271,564,375,./ExDark/Bicycle
2015_00040.jpg,Car,949,332,649,688,./ExDark/Bicycle
2015_00041.jpg,Bicycle,98,9,276,152,./ExDark/Bicycle
2015_00041.jpg,Bicycle,156,166,448,210,./ExDark/Bicycle
2015_00042.jpg,Bicycle,255,119,379,303,./ExDark/Bicycle
2015_00043.jpg,Bicycle,14,251,623,342,./ExDark/Bicycle
2015_00044.jpg,Bicycle,26,43,119,220,./ExDark/Bicycle
2015_00044.jpg,Dog,143,36,60,57,./ExDark/Bicycle
2015_00044.jpg,People,32,2,110,238,./ExDark/Bicycle
2015_00044.jpg,People,133,3,45,93,./ExDark/Bicycle
2015_00045.jpg,Bicycle,225,213,127,195,./ExDark/Bicycle
2015_00046.jpg,Bicycle,94,291,239,198,./ExDark/Bicycle
2015_00047.jpg,Bicycle,236,180,161,182,./ExDark/Bicycle
2015_00047.jpg,People,260,89,84,245,./ExDark/Bicycle
2015_00047.jpg,Car,472,114,124,88,./ExDark/Bicycle
2015_00048.jpg,Bicycle,248,174,128,127,./ExDark/Bicycle
2015_00048.jpg,Car,30,187,87,56,./ExDark/Bicycle
2015_00048.jpg,Car,525,193,64,56,./ExDark/Bicycle
2015_00048.jpg,People,125,165,36,92,./ExDark/Bicycle
2015_00048.jpg,People,176,167,44,88,./ExDark/Bicycle
2015_00048.jpg,People,460,179,48,92,./ExDark/Bicycle
2015_00049.jpg,Bicycle,285,181,110,153,./ExDark/Bicycle
2015_00049.jpg,People,197,136,16,34,./ExDark/Bicycle
2015_00049.jpg,People,182,132,17,41,./ExDark/Bicycle
2015_00049.jpg,People,171,139,18,38,./ExDark/Bicycle
2015_00049.jpg,People,141,132,16,25,./ExDark/Bicycle
2015_00049.jpg,People,226,138,20,44,./ExDark/Bicycle
2015_00049.jpg,People,211,138,27,66,./ExDark/Bicycle
2015_00049.jpg,People,247,141,21,56,./ExDark/Bicycle
2015_00049.jpg,People,397,148,41,106,./ExDark/Bicycle
2015_00049.jpg,People,419,130,34,83,./ExDark/Bicycle
2015_00049.jpg,People,296,111,76,196,./ExDark/Bicycle
2015_00050.jpg,Bicycle,191,771,218,183,./ExDark/Bicycle
2015_00051.jpg,Bicycle,1,5,269,258,./ExDark/Bicycle
2015_00051.jpg,Bicycle,331,196,47,65,./ExDark/Bicycle
2015_00052.jpg,Bicycle,264,132,173,131,./ExDark/Bicycle
2015_00052.jpg,People,408,87,18,38,./ExDark/Bicycle
2015_00052.jpg,People,430,85,18,41,./ExDark/Bicycle
2015_00052.jpg,People,318,89,12,27,./ExDark/Bicycle
2015_00053.jpg,Bicycle,36,207,464,130,./ExDark/Bicycle
2015_00053.jpg,People,118,193,46,45,./ExDark/Bicycle
2015_00053.jpg,People,171,175,59,62,./ExDark/Bicycle
2015_00053.jpg,People,251,186,42,44,./ExDark/Bicycle
2015_00053.jpg,People,287,185,49,51,./ExDark/Bicycle
2015_00053.jpg,People,340,173,51,53,./ExDark/Bicycle
2015_00053.jpg,People,425,171,55,53,./ExDark/Bicycle
2015_00054.jpg,Bicycle,206,212,112,90,./ExDark/Bicycle
2015_00054.jpg,Bicycle,91,215,116,82,./ExDark/Bicycle
2015_00054.jpg,Bicycle,37,191,47,26,./ExDark/Bicycle
2015_00054.jpg,People,119,181,54,116,./ExDark/Bicycle
2015_00054.jpg,People,231,179,46,118,./ExDark/Bicycle
2015_00054.jpg,Table,373,190,37,27,./ExDark/Bicycle
2015_00054.jpg,Table,435,189,37,29,./ExDark/Bicycle
2015_00054.jpg,Table,481,190,24,26,./ExDark/Bicycle
2015_00055.jpg,Bicycle,126,96,276,542,./ExDark/Bicycle
2015_00056.jpg,Bicycle,423,261,105,141,./ExDark/Bicycle
2015_00056.jpg,Bicycle,259,269,79,145,./ExDark/Bicycle
2015_00056.jpg,Bicycle,195,256,68,144,./ExDark/Bicycle
2015_00056.jpg,Motorbike,100,248,76,160,./ExDark/Bicycle
2015_00056.jpg,Motorbike,6,282,105,128,./ExDark/Bicycle
2015_00056.jpg,Table,149,270,59,63,./ExDark/Bicycle
2015_00056.jpg,Table,134,243,62,29,./ExDark/Bicycle
2015_00057.jpg,Bicycle,72,176,231,108,./ExDark/Bicycle
2015_00057.jpg,Bicycle,351,135,78,61,./ExDark/Bicycle
2015_00057.jpg,Car,411,138,90,45,./ExDark/Bicycle
2015_00058.jpg,Bicycle,224,233,121,149,./ExDark/Bicycle
2015_00058.jpg,Bicycle,150,227,23,34,./ExDark/Bicycle
2015_00058.jpg,People,203,207,29,66,./ExDark/Bicycle
2015_00059.jpg,Bicycle,231,236,41,57,./ExDark/Bicycle
2015_00060.jpg,Bicycle,174,34,197,325,./ExDark/Bicycle
2015_00060.jpg,Car,466,53,75,44,./ExDark/Bicycle
2015_00061.jpg,Bicycle,7,75,312,293,./ExDark/Bicycle
2015_00061.jpg,Bicycle,469,116,67,103,./ExDark/Bicycle
2015_00061.jpg,Car,580,92,50,32,./ExDark/Bicycle
2015_00061.jpg,People,476,61,56,126,./ExDark/Bicycle
2015_00061.jpg,People,275,2,207,415,./ExDark/Bicycle
2015_00062.jpg,Bicycle,86,196,229,215,./ExDark/Bicycle
2015_00062.jpg,People,156,112,101,184,./ExDark/Bicycle
2015_00062.jpg,Car,375,168,39,34,./ExDark/Bicycle
2015_00063.jpg,Bicycle,52,137,190,358,./ExDark/Bicycle
2015_00064.jpg,Bicycle,264,70,53,107,./ExDark/Bicycle
2015_00064.jpg,Bicycle,125,70,66,107,./ExDark/Bicycle
2015_00064.jpg,Bicycle,40,69,101,109,./ExDark/Bicycle
2015_00064.jpg,People,43,7,75,170,./ExDark/Bicycle
2015_00064.jpg,People,134,2,77,174,./ExDark/Bicycle
2015_00064.jpg,People,264,4,66,172,./ExDark/Bicycle
2015_00065.jpg,Bicycle,556,748,309,242,./ExDark/Bicycle
2015_00065.jpg,Bicycle,1005,768,380,249,./ExDark/Bicycle
2015_00065.jpg,People,812,618,54,126,./ExDark/Bicycle
2015_00065.jpg,Chair,638,674,46,70,./ExDark/Bicycle
2015_00065.jpg,Chair,698,674,41,66,./ExDark/Bicycle
2015_00065.jpg,Chair,947,676,48,68,./ExDark/Bicycle
2015_00065.jpg,Car,10,652,267,146,./ExDark/Bicycle
2015_00066.jpg,Bicycle,443,183,101,120,./ExDark/Bicycle
2015_00066.jpg,Table,198,190,81,52,./ExDark/Bicycle
2015_00066.jpg,Table,390,197,93,56,./ExDark/Bicycle
2015_00066.jpg,Table,140,230,117,170,./ExDark/Bicycle
2015_00067.jpg,Bicycle,166,252,298,210,./ExDark/Bicycle
2015_00068.jpg,Bicycle,72,193,65,74,./ExDark/Bicycle
2015_00068.jpg,Bicycle,505,163,133,130,./ExDark/Bicycle
2015_00069.jpg,Bicycle,131,246,106,152,./ExDark/Bicycle
2015_00069.jpg,Bicycle,390,229,76,129,./ExDark/Bicycle
2015_00069.jpg,Bicycle,289,233,36,34,./ExDark/Bicycle
2015_00070.jpg,Bicycle,619,432,208,293,./ExDark/Bicycle
2015_00070.jpg,People,621,262,202,483,./ExDark/Bicycle
2015_00071.jpg,Bicycle,23,307,134,110,./ExDark/Bicycle
2015_00072.jpg,Bicycle,271,120,83,177,./ExDark/Bicycle
2015_00072.jpg,People,257,57,93,201,./ExDark/Bicycle
2015_00072.jpg,Car,105,56,136,135,./ExDark/Bicycle
2015_00072.jpg,Car,393,60,69,56,./ExDark/Bicycle
2015_00073.jpg,Bicycle,156,256,191,232,./ExDark/Bicycle
2015_00073.jpg,Bicycle,41,199,24,52,./ExDark/Bicycle
2015_00073.jpg,Bicycle,251,192,27,32,./ExDark/Bicycle
2015_00073.jpg,People,62,168,22,84,./ExDark/Bicycle
2015_00073.jpg,People,24,159,31,93,./ExDark/Bicycle
2015_00073.jpg,People,2,156,34,94,./ExDark/Bicycle
2015_00073.jpg,People,309,160,107,303,./ExDark/Bicycle
2015_00073.jpg,People,136,161,164,314,./ExDark/Bicycle
2015_00074.jpg,Bicycle,471,213,300,421,./ExDark/Bicycle
2015_00074.jpg,Dog,205,345,165,195,./ExDark/Bicycle
2015_00074.jpg,People,228,253,143,166,./ExDark/Bicycle
2015_00074.jpg,People,401,256,97,173,./ExDark/Bicycle
2015_00074.jpg,Chair,400,358,76,135,./ExDark/Bicycle
2015_00075.jpg,Bicycle,72,123,556,376,./ExDark/Bicycle
2015_00076.jpg,Bicycle,340,290,124,90,./ExDark/Bicycle
2015_00076.jpg,Bicycle,526,286,95,52,./ExDark/Bicycle
2015_00076.jpg,Bicycle,195,283,58,40,./ExDark/Bicycle
2015_00076.jpg,Bicycle,2,289,124,62,./ExDark/Bicycle
2015_00076.jpg,People,356,262,73,92,./ExDark/Bicycle
2015_00076.jpg,People,555,257,33,62,./ExDark/Bicycle
2015_00077.jpg,Bicycle,59,545,320,151,./ExDark/Bicycle
2015_00077.jpg,Bicycle,401,509,229,111,./ExDark/Bicycle
2015_00077.jpg,Bicycle,639,486,139,96,./ExDark/Bicycle
2015_00077.jpg,People,87,456,59,177,./ExDark/Bicycle
2015_00077.jpg,People,135,481,102,143,./ExDark/Bicycle
2015_00077.jpg,People,230,442,35,71,./ExDark/Bicycle
2015_00077.jpg,People,236,457,134,208,./ExDark/Bicycle
2015_00077.jpg,People,423,454,65,116,./ExDark/Bicycle
2015_00077.jpg,People,484,459,65,133,./ExDark/Bicycle
2015_00077.jpg,People,550,457,63,125,./ExDark/Bicycle
2015_00077.jpg,People,635,450,71,125,./ExDark/Bicycle
2015_00077.jpg,People,678,438,51,84,./ExDark/Bicycle
2015_00077.jpg,People,732,439,45,68,./ExDark/Bicycle
2015_00077.jpg,Bicycle,829,477,38,46,./ExDark/Bicycle
2015_00077.jpg,Bicycle,786,473,27,52,./ExDark/Bicycle
2015_00077.jpg,Bicycle,889,451,47,49,./ExDark/Bicycle
2015_00077.jpg,Bicycle,964,459,40,36,./ExDark/Bicycle
2015_00078.jpg,Bicycle,176,135,118,164,./ExDark/Bicycle
2015_00078.jpg,People,159,47,107,223,./ExDark/Bicycle
2015_00078.jpg,People,337,258,36,43,./ExDark/Bicycle
2015_00078.jpg,People,380,249,35,52,./ExDark/Bicycle
2015_00079.jpg,Bicycle,185,173,129,73,./ExDark/Bicycle
2015_00079.jpg,People,163,138,22,40,./ExDark/Bicycle
2015_00079.jpg,Car,4,136,218,120,./ExDark/Bicycle
2015_00079.jpg,Car,293,150,218,110,./ExDark/Bicycle
2015_00080.jpg,Bicycle,72,155,148,160,./ExDark/Bicycle
2015_00080.jpg,People,125,77,89,201,./ExDark/Bicycle
2015_00080.jpg,People,258,56,68,82,./ExDark/Bicycle
2015_00081.jpg,Bicycle,358,227,85,60,./ExDark/Bicycle
2015_00081.jpg,Bicycle,442,225,62,94,./ExDark/Bicycle
2015_00081.jpg,People,205,196,32,94,./ExDark/Bicycle
2015_00081.jpg,Car,302,201,48,37,./ExDark/Bicycle
2015_00081.jpg,Car,340,199,109,71,./ExDark/Bicycle
2015_00082.jpg,Bicycle,196,309,59,110,./ExDark/Bicycle
2015_00082.jpg,Bicycle,262,301,55,76,./ExDark/Bicycle
2015_00082.jpg,Motorbike,158,298,38,56,./ExDark/Bicycle
2015_00083.jpg,Bicycle,27,260,271,224,./ExDark/Bicycle
2015_00084.jpg,Bicycle,142,242,272,160,./ExDark/Bicycle
2015_00084.jpg,People,213,151,132,248,./ExDark/Bicycle
2015_00085.jpg,Bicycle,425,510,523,386,./ExDark/Bicycle
2015_00085.jpg,Bicycle,7,437,396,488,./ExDark/Bicycle
2015_00085.jpg,People,1122,464,109,195,./ExDark/Bicycle
2015_00085.jpg,Car,1202,504,396,182,./ExDark/Bicycle
2015_00085.jpg,Car,862,528,250,131,./ExDark/Bicycle
2015_00086.jpg,Bicycle,46,307,330,198,./ExDark/Bicycle
2015_00087.jpg,Bicycle,409,329,129,164,./ExDark/Bicycle
2015_00087.jpg,People,440,264,98,175,./ExDark/Bicycle
2015_00088.jpg,Bicycle,266,411,179,240,./ExDark/Bicycle
2015_00088.jpg,Bicycle,562,398,90,167,./ExDark/Bicycle
2015_00088.jpg,Bicycle,32,513,246,252,./ExDark/Bicycle
2015_00089.jpg,Bicycle,2,9,273,413,./ExDark/Bicycle
2015_00089.jpg,Bicycle,566,256,67,47,./ExDark/Bicycle
2015_00089.jpg,Bicycle,505,260,69,39,./ExDark/Bicycle
2015_00089.jpg,Bicycle,457,262,49,34,./ExDark/Bicycle
2015_00090.jpg,Bicycle,259,264,82,137,./ExDark/Bicycle
2015_00090.jpg,Bicycle,214,235,19,43,./ExDark/Bicycle
2015_00091.jpg,Bicycle,91,309,61,93,./ExDark/Bicycle
2015_00092.jpg,Bicycle,298,217,88,117,./ExDark/Bicycle
2015_00092.jpg,Car,211,174,64,33,./ExDark/Bicycle
2015_00092.jpg,People,134,174,30,29,./ExDark/Bicycle
2015_00093.jpg,Bicycle,159,213,109,99,./ExDark/Bicycle
2015_00093.jpg,Bicycle,414,216,71,73,./ExDark/Bicycle
2015_00093.jpg,Bicycle,497,225,55,142,./ExDark/Bicycle
2015_00093.jpg,People,332,200,24,53,./ExDark/Bicycle
2015_00093.jpg,People,309,194,21,52,./ExDark/Bicycle
2015_00093.jpg,People,290,195,22,54,./ExDark/Bicycle
2015_00093.jpg,People,358,188,22,58,./ExDark/Bicycle
2015_00093.jpg,Bicycle,383,212,33,37,./ExDark/Bicycle
2015_00093.jpg,People,400,186,24,56,./ExDark/Bicycle
2015_00093.jpg,People,430,184,25,45,./ExDark/Bicycle
2015_00093.jpg,People,478,178,33,83,./ExDark/Bicycle
2015_00093.jpg,Chair,260,222,19,27,./ExDark/Bicycle
2015_00093.jpg,Chair,281,222,17,31,./ExDark/Bicycle
2015_00094.jpg,Bicycle,143,426,307,212,./ExDark/Bicycle
2015_00095.jpg,Bicycle,6,146,726,551,./ExDark/Bicycle
2015_00096.jpg,Bicycle,142,113,323,285,./ExDark/Bicycle
2015_00096.jpg,Bicycle,405,187,208,171,./ExDark/Bicycle
2015_00097.jpg,Bicycle,28,470,172,124,./ExDark/Bicycle
2015_00097.jpg,Bicycle,208,473,196,133,./ExDark/Bicycle
2015_00098.jpg,Bicycle,222,505,509,346,./ExDark/Bicycle
2015_00098.jpg,People,1406,418,110,280,./ExDark/Bicycle
2015_00099.jpg,Bicycle,7,304,197,119,./ExDark/Bicycle
2015_00100.jpg,Bicycle,275,360,126,210,./ExDark/Bicycle
2015_00100.jpg,People,487,298,40,109,./ExDark/Bicycle
2015_00101.jpg,Bicycle,381,217,82,60,./ExDark/Bicycle
2015_00102.jpg,Bicycle,108,220,219,276,./ExDark/Bicycle
2015_00103.jpg,Bicycle,251,289,83,130,./ExDark/Bicycle
2015_00103.jpg,People,209,235,31,59,./ExDark/Bicycle
2015_00103.jpg,People,347,236,25,55,./ExDark/Bicycle
2015_00103.jpg,People,251,228,79,176,./ExDark/Bicycle
2015_00103.jpg,Car,362,232,127,63,./ExDark/Bicycle
2015_00104.jpg,Bicycle,141,510,163,176,./ExDark/Bicycle
2015_00104.jpg,Car,750,415,168,102,./ExDark/Bicycle
2015_00104.jpg,Car,612,424,54,47,./ExDark/Bicycle
2015_00104.jpg,Dog,725,496,74,84,./ExDark/Bicycle
2015_00104.jpg,People,311,411,49,82,./ExDark/Bicycle
2015_00105.jpg,Bicycle,197,520,396,278,./ExDark/Bicycle
2015_00105.jpg,Dog,136,474,57,82,./ExDark/Bicycle
2015_00105.jpg,People,122,387,58,132,./ExDark/Bicycle
2015_00105.jpg,People,231,372,17,52,./ExDark/Bicycle
2015_00105.jpg,People,346,363,29,67,./ExDark/Bicycle
2015_00105.jpg,People,431,364,25,50,./ExDark/Bicycle
2015_00105.jpg,People,550,361,47,97,./ExDark/Bicycle
2015_00105.jpg,People,321,368,21,40,./ExDark/Bicycle
2015_00105.jpg,Car,76,375,49,42,./ExDark/Bicycle
2015_00105.jpg,Car,3,381,85,52,./ExDark/Bicycle
2015_00105.jpg,Car,115,364,77,62,./ExDark/Bicycle
2015_00105.jpg,Car,184,370,30,32,./ExDark/Bicycle
2015_00105.jpg,Car,244,376,37,35,./ExDark/Bicycle
2015_00106.jpg,Bicycle,354,338,128,104,./ExDark/Bicycle
2015_00107.jpg,Bicycle,35,282,566,320,./ExDark/Bicycle
2015_00108.jpg,Bicycle,370,140,143,144,./ExDark/Bicycle
2015_00108.jpg,People,377,72,103,159,./ExDark/Bicycle
2015_00109.jpg,Bicycle,116,321,82,136,./ExDark/Bicycle
2015_00109.jpg,People,120,267,69,166,./ExDark/Bicycle
2015_00109.jpg,Dog,286,368,38,73,./ExDark/Bicycle
2015_00110.jpg,Bicycle,462,524,204,239,./ExDark/Bicycle
2015_00110.jpg,Bicycle,674,519,225,212,./ExDark/Bicycle
2015_00111.jpg,Bicycle,31,305,80,149,./ExDark/Bicycle
2015_00111.jpg,Bicycle,272,284,39,62,./ExDark/Bicycle
2015_00112.jpg,Bicycle,237,284,46,33,./ExDark/Bicycle
2015_00112.jpg,Bicycle,402,265,54,72,./ExDark/Bicycle
2015_00113.jpg,Bicycle,356,321,122,218,./ExDark/Bicycle
2015_00113.jpg,Bicycle,303,302,35,46,./ExDark/Bicycle
2015_00114.jpg,Bicycle,216,236,69,105,./ExDark/Bicycle
2015_00114.jpg,Car,10,199,197,217,./ExDark/Bicycle
2015_00114.jpg,People,280,212,14,29,./ExDark/Bicycle
2015_00115.jpg,Bicycle,540,253,72,99,./ExDark/Bicycle
2015_00115.jpg,People,3,229,168,197,./ExDark/Bicycle
2015_00115.jpg,People,167,227,165,203,./ExDark/Bicycle
2015_00115.jpg,People,341,203,60,154,./ExDark/Bicycle
2015_00115.jpg,People,419,205,51,137,./ExDark/Bicycle
2015_00116.jpg,Bicycle,465,233,132,184,./ExDark/Bicycle
2015_00116.jpg,People,303,236,60,129,./ExDark/Bicycle
2015_00116.jpg,Dog,355,281,46,90,./ExDark/Bicycle
2015_00116.jpg,Bottle,245,304,20,37,./ExDark/Bicycle
2015_00116.jpg,Table,207,318,96,99,./ExDark/Bicycle
2015_00116.jpg,Motorbike,453,193,82,147,./ExDark/Bicycle
2015_00117.jpg,Bicycle,8,45,394,251,./ExDark/Bicycle
2015_00117.jpg,People,239,251,361,173,./ExDark/Bicycle
2015_00118.jpg,Bicycle,134,262,140,207,./ExDark/Bicycle
2015_00118.jpg,Bicycle,39,245,26,42,./ExDark/Bicycle
2015_00118.jpg,Car,80,227,75,26,./ExDark/Bicycle
2015_00118.jpg,Car,146,227,56,36,./ExDark/Bicycle
2015_00118.jpg,Car,244,225,37,28,./ExDark/Bicycle
